"","ID","high_color","low_color","task","open_response","category","aware_binary","mentioned_speed_account","color_mentioned_text","mapping_stated","justification","rater_confidence","needs_human_review"
"1","006682CE","green","pink","C","Realmente he pensado que los puntos los recibía al azar. De hecho, creía que lo que se medía era si, el fallar y perder muchos o pocos puntos afectaba de mayor o menor manera a mi rendimiento. No le he dado tampoco demasiadas vueltas al asunto","none",0,"FALSO","","","El participante dice explícitamente que pensó que los puntos se recibían “al azar” y no menciona ningún color ni una relación color?puntos; atribuye la tarea a cómo perder puntos podría afectar su rendimiento.",95,"FALSO"
"2","016468PO","blue","orange","C","En un principio pensé que estaba relacionado con la consecutividad de los aciertos, más tarde vi que no se mantenía esa hipótesis y pensé que o eran al azar o que se daban más cuando el distractor era de color azul.","correct",1,"FALSO","azul","high_more","El participante indica explícitamente que “se daban más cuando el distractor era de color azul”, lo que corresponde al mapeo real donde azul es la alta recompensa.",91,"FALSO"
"3","020314BD","pink","green","L","La verdad que en ningún momento he prestado atención a eso así como tampoco estaba preocupada por los puntos ","none",0,"FALSO","","","Indica que no prestó atención a la posible relación y que no estaba preocupada por los puntos; no menciona ningún color ni mapeo color-recompensa.",96,"FALSO"
"4","020845UA","blue","orange","L","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores ni una relación entre color y puntos/recompensa.",99,"FALSO"
"5","056650JA","pink","green","L","no he pensado nada","none",0,"FALSO","","","El participante dice ""no he pensado nada"", sin mencionar colores, puntos/recompensa ni una relación entre ambos.",95,"FALSO"
"6","064165UF","orange","blue","C","Durante el experimento no he pensado que los ensayos estuvieran relacionados con ganar o perder puntos extra.
","none",0,"FALSO","","","El participante niega haber pensado que los ensayos estuvieran relacionados con ganar o perder puntos extra y no menciona ningún color ni mapeo color-recompensa.",95,"FALSO"
"7","068583XK","blue","orange","L","NO LO HE PENSADO DURANTE EL EXPERIMENTO
","none",0,"FALSO","","","El participante indica que no lo pensó durante el experimento y no menciona ninguna relación entre color y puntos ni un mapeo específico.",93,"FALSO"
"8","071627OS","blue","orange","L","Hay un momento que se me ha pasado por la cabeza que pudiera tener relación, sin embargo, me forcé a no pensar en ello por si me acababa condicionando, decidí que mi mejor estrategia era hacerlo sin pensar en nada más porque así tenía menos presión externa","none",0,"FALSO","","unclear","El participante sugiere que “pudiera tener relación”, pero no menciona colores ni describe ningún mapeo específico entre color y puntos/recompensa; además indica que evitó pensar en ello para no condicionarse.",86,"FALSO"
"9","078674JW","pink","green","C","Dependían del color rosa","correct",1,"FALSO","rosa","unclear","Indica que los puntos/recompensa dependían del color (menciona específicamente el color rosa), pero no afirma explícitamente que el rosa diera más o menos puntos que el otro color, por lo que no especifica el mapeo alta vs. baja recompensa.",9,"FALSO"
"10","106821EC","orange","blue","C","A medida que pasaban los niveles, veía que el patrón de color naranja y puntos extra se repetía de manera constante. En los niveles finales no me fijaba tanto en el color porque asocie que si era de color naranja iba a aparecer el recuadro de puntos extra. ","correct",1,"FALSO","naranja","high_more","El participante afirma explícitamente que el color naranja se asociaba de manera constante con la aparición de puntos extra (“patrón de color naranja y puntos extra… si era de color naranja iba a aparecer el recuadro de puntos extra”), lo que corresponde a que naranja daba más puntos.",96,"FALSO"
"11","116641GJ","blue","orange","C","Pensaba que cuando el distractor era azul, tenía como más tiempo para responder sin perder tantos puntos, mientras que cuando el distractor era naranja por muy rápido que contestase, no lograba tantos puntos como en el caso azul. Con los fallos era igual, fallar un azul descontaba mucho mas que un naranja","correct",1,"VERDADERO","azul, naranja","high_more","El participante afirma explícitamente que con distractor azul obtenía más puntos que con naranja (“no lograba tantos puntos como en el caso azul”) y además que fallar un azul descontaba más que un naranja, lo que indica que el azul estaba asociado a mayor magnitud de puntos (recompensa/castigo).",9,"FALSO"
"12","11860","green","pink","L","La verdad es que no lo he pensado.","none",0,"FALSO","","","El participante dice que no lo ha pensado, sin mencionar colores ni una relación entre color y puntos/recompensa.",97,"FALSO"
"13","12196","green","pink","C","Los ensayos en los que podías perder algo creo se basaban en el color. Cuando era verde, ganabas x10 lo que en el resto de ensayos ganaras, ya fuera el distractor rosa o no hubiera. ","correct",1,"FALSO","verde (y también menciona rosa)","high_more","El participante afirma explícitamente que cuando era verde se ganaba x10 comparado con el resto de ensayos, indicando que el verde daba más puntos/bonus que el otro color/condiciones.",93,"FALSO"
"14","12427","green","pink","L","No he pensado concretamente sobre si el color del distractor influía en la ganancia de puntos extra, pero tras responder a las preguntas anteriores, creo que sí, que durante el experimento pensé que cuando el distractor era rojo, quizás se proporcionaban menos puntos extra que cuando el distractor era verde.","correct",1,"FALSO","rojo, verde","unclear","El participante sugiere que la cantidad de puntos extra dependía del color (dice que con distractor rojo “quizás se proporcionaban menos puntos extra que… verde”), pero no menciona el color real del par (verde vs rosa) ni establece explícitamente el mapeo correcto para ese participante; además introduce un color fuera del par (rojo).",86,"FALSO"
"15","12454","pink","green","L","Durante el experimento en sí no me he planteado ninguna cuestión, aunque a posteriori sí.
No he seguido ningún truco si es que lo hubiese.","none",0,"FALSO","","","El participante indica que durante el experimento no se planteó ninguna cuestión y que no siguió ningún truco, sin mencionar colores ni relación entre color y puntos/recompensa.",93,"FALSO"
"16","13384","green","pink","L","none","none",0,"FALSO","","","El participante respondió únicamente ""none"", sin mencionar colores, puntos ni ninguna relación entre color y recompensa/castigo.",99,"FALSO"
